Country,ImagesFileName,Alpha3,Region,SubRegion
Albania,Flag_of_Albania.png,ALB,Europe,Southern Europe
Algeria,Flag_of_Algeria.png,DZA,Africa,Northern Africa
Andorra,Flag_of_Andorra.png,AND,Europe,Southern Europe
Angola,Flag_of_Angola.png,AGO,Africa,Sub-Saharan Africa
Antigua and Barbuda,Flag_of_Antigua_and_Barbuda.png,ATG,Americas,Latin America and the Caribbean
Argentina,Flag_of_Argentina.png,ARG,Americas,Latin America and the Caribbean
Armenia,Flag_of_Armenia.png,ARM,Asia,Western Asia
Australia,Flag_of_Australia_(converted).png,AUS,Oceania,Australia and New Zealand
Austria,Flag_of_Austria.png,AUT,Europe,Western Europe
Azerbaijan,Flag_of_Azerbaijan.png,AZE,Asia,Western Asia
Bahamas,Flag_of_the_Bahamas.png,BHS,Americas,Latin America and the Caribbean
Bahrain,Flag_of_Bahrain.png,BHR,Asia,Western Asia
Bangladesh,Flag_of_Bangladesh.png,BGD,Asia,Southern Asia
Barbados,Flag_of_Barbados.png,BRB,Americas,Latin America and the Caribbean
Belarus,Flag_of_Belarus.png,BLR,Europe,Eastern Europe
Belgium,Flag_of_Belgium_(civil).png,BEL,Europe,Western Europe
Belize,Flag_of_Belize.png,BLZ,Americas,Latin America and the Caribbean
Benin,Flag_of_Benin.png,BEN,Africa,Sub-Saharan Africa
Bhutan,Flag_of_Bhutan.png,BTN,Asia,Southern Asia
Bolivia,Flag_of_Bolivia.png,BOL,Americas,Latin America and the Caribbean
Botswana,Flag_of_Botswana.png,BWA,Africa,Sub-Saharan Africa
Brazil,Flag_of_Brazil.png,BRA,Americas,Latin America and the Caribbean
Bulgaria,Flag_of_Bulgaria.png,BGR,Europe,Eastern Europe
Burkina Faso,Flag_of_Burkina_Faso.png,BFA,Africa,Sub-Saharan Africa
Burundi,Flag_of_Burundi.png,BDI,Africa,Sub-Saharan Africa
Cambodia,Flag_of_Cambodia.png,KHM,Asia,South-eastern Asia
Cameroon,Flag_of_Cameroon.png,CMR,Africa,Sub-Saharan Africa
Canada,Flag_of_Canada.png,CAN,Americas,Northern America
Central African Republic,Flag_of_the_Central_African_Republic.png,CAF,Africa,Sub-Saharan Africa
Chad,Flag_of_Chad.png,TCD,Africa,Sub-Saharan Africa
Chile,Flag_of_Chile.png,CHL,Americas,Latin America and the Caribbean
China,Flag_of_the_People's_Republic_of_China.png,CHN,Asia,Eastern Asia
Colombia,Flag_of_Colombia.png,COL,Americas,Latin America and the Caribbean
Comoros,Flag_of_the_Comoros.png,COM,Africa,Sub-Saharan Africa
Costa Rica,Flag_of_Costa_Rica.png,CRI,Americas,Latin America and the Caribbean
Croatia,Flag_of_Croatia.png,HRV,Europe,Southern Europe
Cuba,Flag_of_Cuba.png,CUB,Americas,Latin America and the Caribbean
Cyprus,Flag_of_Cyprus.png,CYP,Asia,Western Asia
Czech Republic,Flag_of_the_Czech_Republic.png,CZE,Europe,Eastern Europe
Denmark,Flag_of_Denmark.png,DNK,Europe,Northern Europe
Djibouti,Flag_of_Djibouti.png,DJI,Africa,Sub-Saharan Africa
Dominica,Flag_of_Dominica.png,DMA,Americas,Latin America and the Caribbean
Dominican Republic,Flag_of_the_Dominican_Republic.png,DOM,Americas,Latin America and the Caribbean
Ecuador,Flag_of_Ecuador.png,ECU,Americas,Latin America and the Caribbean
Egypt,Flag_of_Egypt.png,EGY,Africa,Northern Africa
El Salvador,Flag_of_El_Salvador.png,SLV,Americas,Latin America and the Caribbean
Equatorial Guinea,Flag_of_Equatorial_Guinea.png,GNQ,Africa,Sub-Saharan Africa
Eritrea,Flag_of_Eritrea.png,ERI,Africa,Sub-Saharan Africa
Estonia,Flag_of_Estonia.png,EST,Europe,Northern Europe
Ethiopia,Flag_of_Ethiopia.png,ETH,Africa,Sub-Saharan Africa
Fiji,Flag_of_Fiji.png,FJI,Oceania,Melanesia
Finland,Flag_of_Finland.png,FIN,Europe,Northern Europe
France,Flag_of_France.png,FRA,Europe,Western Europe
Gabon,Flag_of_Gabon.png,GAB,Africa,Sub-Saharan Africa
Georgia,Flag_of_Georgia.png,GEO,Asia,Western Asia
Germany,Flag_of_Germany.png,DEU,Europe,Western Europe
Ghana,Flag_of_Ghana.png,GHA,Africa,Sub-Saharan Africa
Greece,Flag_of_Greece.png,GRC,Europe,Southern Europe
Grenada,Flag_of_Grenada.png,GRD,Americas,Latin America and the Caribbean
Guatemala,Flag_of_Guatemala.png,GTM,Americas,Latin America and the Caribbean
Guinea,Flag_of_Guinea.png,GIN,Africa,Sub-Saharan Africa
Guyana,Flag_of_Guyana.png,GUY,Americas,Latin America and the Caribbean
Haiti,Flag_of_Haiti.png,HTI,Americas,Latin America and the Caribbean
Honduras,Flag_of_Honduras.png,HND,Americas,Latin America and the Caribbean
Hungary,Flag_of_Hungary.png,HUN,Europe,Eastern Europe
Iceland,Flag_of_Iceland.png,ISL,Europe,Northern Europe
India,Flag_of_India.png,IND,Asia,Southern Asia
Indonesia,Flag_of_Indonesia.png,IDN,Asia,South-eastern Asia
Iran,Flag_of_Iran.png,IRN,Asia,Southern Asia
Iraq,Flag_of_Iraq.png,IRQ,Asia,Western Asia
Ireland,Flag_of_Ireland.png,IRL,Europe,Northern Europe
Israel,Flag_of_Israel.png,ISR,Asia,Western Asia
Italy,Flag_of_Italy.png,ITA,Europe,Southern Europe
